XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20312
1799.983142,0.023992
1800.224200,0.024334
1800.465258,0.024548
1800.706317,0.024706
1800.947375,0.024817
1801.188434,0.024739
1801.429492,0.024508
1801.670550,0.024438
1801.911609,0.024445
1802.152667,0.024237
1802.393726,0.023825
1802.634784,0.023740
1802.875843,0.024017
1803.116901,0.024242
1803.357959,0.024304
1803.599018,0.024271
1803.840076,0.024202
1804.081135,0.024149
1804.322193,0.024185
1804.563251,0.024310
1804.804310,0.024384
1805.045368,0.024333
1805.286427,0.024290
1805.527485,0.024331
1805.768543,0.024336
1806.009602,0.024229
1806.250660,0.024101
1806.491719,0.024040
1806.732777,0.024009
1806.973835,0.023963
1807.214894,0.023876
1807.455952,0.023701
1807.697011,0.023537
1807.938069,0.023581
1808.179128,0.023723
1808.420186,0.023788
1808.661244,0.023792
1808.902303,0.023810
1809.143361,0.023859
1809.384420,0.023910
1809.625478,0.023955
1809.866536,0.023991
1810.107595,0.023919
1810.348653,0.023553
1810.589712,0.022984
1810.830770,0.022905
1811.071828,0.023240
1811.312887,0.023511
1811.553945,0.023582
1811.795004,0.023467
1812.036062,0.023259
1812.277120,0.023176
1812.518179,0.023343
1812.759237,0.023588
1813.000296,0.023765
1813.241354,0.023849
1813.482413,0.023833
1813.723471,0.023755
1813.964529,0.023698
1814.205588,0.023697
1814.446646,0.023704
1814.687705,0.023694
1814.928763,0.023711
1815.169821,0.023743
1815.410880,0.023715
1815.651938,0.023650
1815.892997,0.023628
1816.134055,0.023625
1816.375113,0.023570
1816.616172,0.023513
1816.857230,0.023506
1817.098289,0.023472
1817.339347,0.023402
1817.580405,0.023452
1817.821464,0.023572
1818.062522,0.023581
1818.303581,0.023545
1818.544639,0.023616
1818.785698,0.023748
1819.026756,0.023812
1819.267814,0.023822
1819.508873,0.023827
1819.749931,0.023817
1819.990990,0.023823
1820.232048,0.023872
1820.473106,0.023859
1820.714165,0.023737
1820.955223,0.023613
1821.196282,0.023549
1821.437340,0.023549
1821.678398,0.023644
1821.919457,0.023797
1822.160515,0.023873
1822.401574,0.023791
1822.642632,0.023616
1822.883690,0.023499
1823.124749,0.023488
1823.365807,0.023510
1823.606866,0.023541
1823.847924,0.023638
1824.088983,0.023797
1824.330041,0.023894
1824.571099,0.023803
1824.812158,0.023425
1825.053216,0.022597
1825.294275,0.022005
1825.535333,0.022582
1825.776391,0.023278
1826.017450,0.023682
1826.258508,0.023820
1826.499567,0.023829
1826.740625,0.023789
1826.981683,0.023717
1827.222742,0.023705
1827.463800,0.023817
1827.704859,0.023939
1827.945917,0.023950
1828.186975,0.023902
1828.428034,0.023874
1828.669092,0.023794
1828.910151,0.023516
1829.151209,0.023138
1829.392268,0.023011
1829.633326,0.022973
1829.874384,0.022702
1830.115443,0.022329
1830.356501,0.022541
1830.597560,0.022984
1830.838618,0.023358
1831.079676,0.023647
1831.320735,0.023846
1831.561793,0.023982
1831.802852,0.024111
1832.043910,0.024254
1832.284968,0.024345
1832.526027,0.024336
1832.767085,0.024290
1833.008144,0.024261
1833.249202,0.024227
1833.490260,0.024189
1833.731319,0.024165
1833.972377,0.024165
1834.213436,0.024212
1834.454494,0.024302
1834.695553,0.024375
1834.936611,0.024384
1835.177669,0.024350
1835.418728,0.024335
1835.659786,0.024384
1835.900845,0.024457
1836.141903,0.024461
1836.382961,0.024358
1836.624020,0.024168
1836.865078,0.023895
1837.106137,0.023676
1837.347195,0.023801
1837.588253,0.024151
1837.829312,0.024380
1838.070370,0.024413
1838.311429,0.024379
1838.552487,0.024410
1838.793545,0.024521
1839.034604,0.024644
1839.275662,0.024745
1839.516721,0.024820
1839.757779,0.024833
1839.998838,0.024774
1840.239896,0.024706
1840.480954,0.024676
1840.722013,0.024669
1840.963071,0.024656
1841.204130,0.024605
1841.445188,0.024506
1841.686246,0.024386
1841.927305,0.024291
1842.168363,0.024321
1842.409422,0.024510
1842.650480,0.024694
1842.891538,0.024723
1843.132597,0.024627
1843.373655,0.024514
1843.614714,0.024407
1843.855772,0.024157
1844.096830,0.023390
1844.337889,0.022939
1844.578947,0.023537
1844.820006,0.023886
1845.061064,0.023937
1845.302123,0.023927
1845.543181,0.024093
1845.784239,0.024419
1846.025298,0.024693
1846.266356,0.024833
1846.507415,0.024949
1846.748473,0.025121
1846.989531,0.025235
1847.230590,0.025118
1847.471648,0.024751
1847.712707,0.024374
1847.953765,0.024399
1848.194823,0.024693
1848.435882,0.024910
1848.676940,0.024984
1848.917999,0.024999
1849.159057,0.025034
1849.400115,0.025096
1849.641174,0.025147
1849.882232,0.025160
1850.123291,0.025158
1850.364349,0.025185
1850.605408,0.025254
1850.846466,0.025310
1851.087524,0.025283
1851.328583,0.025202
1851.569641,0.025166
1851.810700,0.025208
1852.051758,0.025318
1852.292816,0.025466
1852.533875,0.025530
1852.774933,0.025416
1853.015992,0.025301
1853.257050,0.025323
1853.498108,0.025416
1853.739167,0.025488
1853.980225,0.025555
1854.221284,0.025586
1854.462342,0.025496
1854.703400,0.025335
1854.944459,0.025257
1855.185517,0.025283
1855.426576,0.025332
1855.667634,0.025376
1855.908693,0.025393
1856.149751,0.025339
1856.390809,0.025275
1856.631868,0.025284
1856.872926,0.025318
1857.113985,0.025289
1857.355043,0.025220
1857.596101,0.025178
1857.837160,0.025161
1858.078218,0.025127
1858.319277,0.025078
1858.560335,0.025055
1858.801393,0.025086
1859.042452,0.025137
1859.283510,0.025134
1859.524569,0.025061
1859.765627,0.024983
1860.006685,0.024966
1860.247744,0.025023
1860.488802,0.025126
1860.729861,0.025198
1860.970919,0.025155
1861.211978,0.024988
1861.453036,0.024832
1861.694094,0.024860
1861.935153,0.025045
1862.176211,0.025227
1862.417270,0.025323
1862.658328,0.025342
1862.899386,0.025325
1863.140445,0.025311
1863.381503,0.025321
1863.622562,0.025350
1863.863620,0.025332
1864.104678,0.025190
1864.345737,0.025004
1864.586795,0.024907
1864.827854,0.024919
1865.068912,0.024981
1865.309970,0.025000
1865.551029,0.024927
1865.792087,0.024803
1866.033146,0.024614
1866.274204,0.024345
1866.515263,0.024254
1866.756321,0.024501
1866.997379,0.024830
1867.238438,0.024941
1867.479496,0.024648
1867.720555,0.024081
1867.961613,0.023986
1868.202671,0.024419
1868.443730,0.024658
1868.684788,0.024566
1868.925847,0.024156
1869.166905,0.023344
1869.407963,0.022852
1869.649022,0.023411
1869.890080,0.024050
1870.131139,0.024408
1870.372197,0.024515
1870.613256,0.024499
1870.854314,0.024527
1871.095372,0.024662
1871.336431,0.024781
1871.577489,0.024774
1871.818548,0.024737
1872.059606,0.024831
1872.300664,0.025010
1872.541723,0.025082
1872.782781,0.025004
1873.023840,0.024889
1873.264898,0.024796
1873.505956,0.024699
1873.747015,0.024630
1873.988073,0.024643
1874.229132,0.024691
1874.470190,0.024713
1874.711248,0.024745
1874.952307,0.024817
1875.193365,0.024874
1875.434424,0.024896
1875.675482,0.024886
1875.916541,0.024794
1876.157599,0.024649
1876.398657,0.024569
1876.639716,0.024545
1876.880774,0.024494
1877.121833,0.024480
1877.362891,0.024601
1877.603949,0.024757
1877.845008,0.024766
1878.086066,0.024628
1878.327125,0.024482
1878.568183,0.024432
1878.809241,0.024480
1879.050300,0.024538
1879.291358,0.024517
1879.532417,0.024429
1879.773475,0.024381
1880.014533,0.024450
1880.255592,0.024573
1880.496650,0.024629
1880.737709,0.024614
1880.978767,0.024581
1881.219826,0.024549
1881.460884,0.024525
1881.701942,0.024498
1881.943001,0.024448
1882.184059,0.024386
1882.425118,0.024355
1882.666176,0.024366
1882.907234,0.024378
1883.148293,0.024383
1883.389351,0.024432
1883.630410,0.024506
1883.871468,0.024501
1884.112526,0.024354
1884.353585,0.024137
1884.594643,0.024055
1884.835702,0.024200
1885.076760,0.024397
1885.317818,0.024498
1885.558877,0.024513
1885.799935,0.024473
1886.040994,0.024386
1886.282052,0.024328
1886.523111,0.024369
1886.764169,0.024443
1887.005227,0.024437
1887.246286,0.024349
1887.487344,0.024261
1887.728403,0.024229
1887.969461,0.024232
1888.210519,0.024220
1888.451578,0.024210
1888.692636,0.024228
1888.933695,0.024206
1889.174753,0.024030
1889.415811,0.023649
1889.656870,0.023424
1889.897928,0.023681
1890.138987,0.024034
1890.380045,0.024221
1890.621103,0.024204
1890.862162,0.024163
1891.103220,0.024273
1891.344279,0.024455
1891.585337,0.024542
1891.826396,0.024515
1892.067454,0.024444
1892.308512,0.024367
1892.549571,0.024311
1892.790629,0.024296
1893.031688,0.024282
1893.272746,0.024220
1893.513804,0.024146
1893.754863,0.024138
1893.995921,0.024201
1894.236980,0.024259
1894.478038,0.024185
1894.719096,0.023890
1894.960155,0.023437
1895.201213,0.023195
1895.442272,0.023431
1895.683330,0.023782
1895.924388,0.023995
1896.165447,0.024103
1896.406505,0.024160
1896.647564,0.024165
1896.888622,0.024118
1897.129681,0.024033
1897.370739,0.023960
1897.611797,0.023956
1897.852856,0.024014
1898.093914,0.024050
1898.334973,0.023981
1898.576031,0.023842
1898.817089,0.023775
1899.058148,0.023845
1899.299206,0.023944
1899.540265,0.023950
1899.781323,0.023900
1900.022381,0.023896
1900.263440,0.023932
1900.504498,0.023946
1900.745557,0.023938
1900.986615,0.023908
1901.227673,0.023842
1901.468732,0.023767
1901.709790,0.023729
1901.950849,0.023736
1902.191907,0.023797
1902.432966,0.023922
1902.674024,0.024037
1902.915082,0.024050
1903.156141,0.023975
1903.397199,0.023896
1903.638258,0.023858
1903.879316,0.023840
1904.120374,0.023796
1904.361433,0.023742
1904.602491,0.023741
1904.843550,0.023806
1905.084608,0.023882
1905.325666,0.023906
1905.566725,0.023863
1905.807783,0.023788
1906.048842,0.023718
1906.289900,0.023688
1906.530958,0.023710
1906.772017,0.023719
1907.013075,0.023661
1907.254134,0.023550
1907.495192,0.023373
1907.736251,0.023128
1907.977309,0.023004
1908.218367,0.023144
1908.459426,0.023357
1908.700484,0.023477
1908.941543,0.023536
1909.182601,0.023566
1909.423659,0.023478
1909.664718,0.023178
1909.905776,0.022893
1910.146835,0.023052
1910.387893,0.023433
1910.628951,0.023626
1910.870010,0.023630
1911.111068,0.023582
1911.352127,0.023537
1911.593185,0.023529
1911.834243,0.023584
1912.075302,0.023635
1912.316360,0.023607
1912.557419,0.023538
1912.798477,0.023498
1913.039536,0.023494
1913.280594,0.023488
1913.521652,0.023457
1913.762711,0.023419
1914.003769,0.023404
1914.244828,0.023401
1914.485886,0.023370
1914.726944,0.023325
1914.968003,0.023314
1915.209061,0.023340
1915.450120,0.023376
1915.691178,0.023427
1915.932236,0.023511
1916.173295,0.023590
1916.414353,0.023584
1916.655412,0.023482
1916.896470,0.023377
1917.137528,0.023345
1917.378587,0.023318
1917.619645,0.023074
1917.860704,0.022334
1918.101762,0.021746
1918.342821,0.022185
1918.583879,0.022792
1918.824937,0.023132
1919.065996,0.023255
1919.307054,0.023282
1919.548113,0.023264
1919.789171,0.023249
1920.030229,0.023272
1920.271288,0.023276
1920.512346,0.023194
1920.753405,0.023109
1920.994463,0.023160
1921.235521,0.023300
1921.476580,0.023368
1921.717638,0.023326
1921.958697,0.023180
1922.199755,0.022905
1922.440813,0.022639
1922.681872,0.022485
1922.922930,0.022297
1923.163989,0.022174
1923.405047,0.022403
1923.646106,0.022745
1923.887164,0.022964
1924.128222,0.023081
1924.369281,0.023117
1924.610339,0.023047
1924.851398,0.022942
1925.092456,0.022894
1925.333514,0.022893
1925.574573,0.022925
1925.815631,0.022989
1926.056690,0.023023
1926.297748,0.023017
1926.538806,0.023058
1926.779865,0.023164
1927.020923,0.023238
1927.261982,0.023189
1927.503040,0.023065
1927.744098,0.022996
1927.985157,0.023008
1928.226215,0.023048
1928.467274,0.023100
1928.708332,0.023124
1928.949391,0.023086
1929.190449,0.023040
1929.431507,0.023019
1929.672566,0.022986
1929.913624,0.022954
1930.154683,0.022976
1930.395741,0.023024
1930.636799,0.023023
1930.877858,0.022948
1931.118916,0.022837
1931.359975,0.022771
1931.601033,0.022792
1931.842091,0.022836
1932.083150,0.022818
1932.324208,0.022760
1932.565267,0.022734
1932.806325,0.022746
1933.047383,0.022751
1933.288442,0.022731
1933.529500,0.022717
1933.770559,0.022732
1934.011617,0.022747
1934.252676,0.022759
1934.493734,0.022790
1934.734792,0.022830
1934.975851,0.022877
1935.216909,0.022955
1935.457968,0.023010
1935.699026,0.022947
1935.940084,0.022778
1936.181143,0.022632
1936.422201,0.022616
1936.663260,0.022702
1936.904318,0.022785
1937.145376,0.022811
1937.386435,0.022761
1937.627493,0.022633
1937.868552,0.022491
1938.109610,0.022405
1938.350668,0.022354
1938.591727,0.022331
1938.832785,0.022399
1939.073844,0.022555
1939.314902,0.022660
1939.555961,0.022600
1939.797019,0.022441
1940.038077,0.022352
1940.279136,0.022401
1940.520194,0.022484
1940.761253,0.022474
1941.002311,0.022366
1941.243369,0.022235
1941.484428,0.022160
1941.725486,0.022168
1941.966545,0.022137
1942.207603,0.021828
1942.448661,0.021170
1942.689720,0.020951
1942.930778,0.021469
1943.171837,0.021960
1943.412895,0.022208
1943.653953,0.022291
1943.895012,0.022315
1944.136070,0.022349
1944.377129,0.022404
1944.618187,0.022427
1944.859246,0.022337
1945.100304,0.022157
1945.341362,0.022055
1945.582421,0.022086
1945.823479,0.022119
1946.064538,0.022120
1946.305596,0.022146
1946.546654,0.022166
1946.787713,0.022163
1947.028771,0.022208
1947.269830,0.022288
1947.510888,0.022308
1947.751946,0.022226
1947.993005,0.022112
1948.234063,0.022065
1948.475122,0.022110
1948.716180,0.022177
1948.957238,0.022213
1949.198297,0.022252
1949.439355,0.022324
1949.680414,0.022380
1949.921472,0.022377
1950.162531,0.022320
1950.403589,0.022224
1950.644647,0.022133
1950.885706,0.022098
1951.126764,0.022097
1951.367823,0.022082
1951.608881,0.022060
1951.849939,0.022044
1952.090998,0.022026
1952.332056,0.022036
1952.573115,0.022094
1952.814173,0.022136
1953.055231,0.022113
1953.296290,0.022085
1953.537348,0.022118
1953.778407,0.022189
1954.019465,0.022221
1954.260523,0.022159
1954.501582,0.022028
1954.742640,0.021928
1954.983699,0.021915
1955.224757,0.021937
1955.465816,0.021961
1955.706874,0.021990
1955.947932,0.021972
1956.188991,0.021880
1956.430049,0.021824
1956.671108,0.021874
1956.912166,0.021954
1957.153224,0.022005
1957.394283,0.022041
1957.635341,0.022049
1957.876400,0.022008
1958.117458,0.021953
1958.358516,0.021916
1958.599575,0.021903
1958.840633,0.021917
1959.081692,0.021912
1959.322750,0.021850
1959.563809,0.021773
1959.804867,0.021729
1960.045925,0.021723
1960.286984,0.021777
1960.528042,0.021878
1960.769101,0.021908
1961.010159,0.021813
1961.251217,0.021704
1961.492276,0.021656
1961.733334,0.021628
1961.974393,0.021612
1962.215451,0.021637
1962.456509,0.021690
1962.697568,0.021756
1962.938626,0.021859
1963.179685,0.022000
1963.420743,0.022093
1963.661801,0.022035
1963.902860,0.021858
1964.143918,0.021713
1964.384977,0.021688
1964.626035,0.021732
1964.867094,0.021735
1965.108152,0.021651
1965.349210,0.021530
1965.590269,0.021404
1965.831327,0.021232
1966.072386,0.021054
1966.313444,0.021050
1966.554502,0.021253
1966.795561,0.021448
1967.036619,0.021471
1967.277678,0.021318
1967.518736,0.021227
1967.759794,0.021376
1968.000853,0.021560
1968.241911,0.021603
1968.482970,0.021515
1968.724028,0.021400
1968.965086,0.021356
1969.206145,0.021368
1969.447203,0.021328
1969.688262,0.021259
1969.929320,0.021322
1970.170379,0.021534
1970.411437,0.021746
1970.652495,0.021868
1970.893554,0.021873
1971.134612,0.021756
1971.375671,0.021619
1971.616729,0.021605
1971.857787,0.021712
1972.098846,0.021794
1972.339904,0.021759
1972.580963,0.021653
1972.822021,0.021543
1973.063079,0.021432
1973.304138,0.021336
1973.545196,0.021304
1973.786255,0.021344
1974.027313,0.021381
1974.268371,0.021320
1974.509430,0.021197
1974.750488,0.021192
1974.991547,0.021372
1975.232605,0.021553
1975.473664,0.021551
1975.714722,0.021436
1975.955780,0.021399
1976.196839,0.021485
1976.437897,0.021565
1976.678956,0.021525
1976.920014,0.021393
1977.161072,0.021261
1977.402131,0.021170
1977.643189,0.021121
1977.884248,0.021117
1978.125306,0.021159
1978.366364,0.021258
1978.607423,0.021419
1978.848481,0.021593
1979.089540,0.021677
1979.330598,0.021636
1979.571656,0.021525
1979.812715,0.021388
1980.053773,0.021255
1980.294832,0.021171
1980.535890,0.021145
1980.776949,0.021189
1981.018007,0.021290
1981.259065,0.021339
1981.500124,0.021282
1981.741182,0.021245
1981.982241,0.021341
1982.223299,0.021501
1982.464357,0.021554
1982.705416,0.021461
1982.946474,0.021305
1983.187533,0.021147
1983.428591,0.021110
1983.669649,0.021285
1983.910708,0.021462
1984.151766,0.021391
1984.392825,0.021164
1984.633883,0.020992
